date,category,description,amount
2025-06-28,Loan Payment,Loan repayment,-4982214
2025-06-29,Utilities,Internet,-478106
2025-06-29,Loan Payment,Loan repayment,-8574238
2025-06-29,Eating Out,Street food,-231419
2025-06-29,Transport,Taxi,-271309
2025-06-29,Groceries,Vegetable market,-438525
2025-06-29,Eating Out,Street food,-664733
2025-06-29,Shopping,Home items,-4812245
2025-06-29,Groceries,Vegetable market,-404945
2025-06-30,Rent,Apartment rent,-3717314
2025-06-30,Loan Payment,Loan repayment,-3997102
2025-06-30,Shopping,Home items,-3791988
2025-06-30,Loan Payment,Loan repayment,-3041997
2025-07-01,Entertainment,Concert,-448515
2025-07-01,Transport,Taxi,-483182
2025-07-01,Misc,Miscellaneous,-151549
2025-07-01,Loan Payment,Loan repayment,-1176064
2025-07-01,Eating Out,Cafe,-94945
2025-07-01,Transport,Gas,-201528
2025-07-02,Shopping,Home items,-822355
2025-07-02,Rent,Apartment rent,-8168129
2025-07-02,Loan Payment,Loan repayment,-1678716
2025-07-02,Shopping,Home items,-4831585
2025-07-02,Misc,Miscellaneous,-300504
2025-07-02,Shopping,Home items,-1564657
2025-07-02,Rent,Apartment rent,-14496746
2025-07-02,Eating Out,Street food,-414271
2025-07-03,Eating Out,Street food,-735079
2025-07-03,Utilities,Internet,-810404
2025-07-03,Transport,Taxi,-388875
2025-07-03,Groceries,Vegetable market,-1204344
2025-07-03,Utilities,Water bill,-1679240
2025-07-04,Groceries,Supermarket,-143047
2025-07-04,Rent,Apartment rent,-8134371
2025-07-04,Shopping,Electronics,-4049339
2025-07-04,Groceries,Vegetable market,-1181811
2025-07-05,Gift,Gift from family,1470984
2025-07-05,Loan Payment,Loan repayment,-2116856
2025-07-05,Misc,Miscellaneous,-144942
2025-07-05,Utilities,Water bill,-441238
2025-07-05,Eating Out,Street food,-209190
2025-07-06,Gift,Birthday gift,1952031
2025-07-06,Transport,Gas,-419380
2025-07-06,Interest,Bank interest,796388
2025-07-06,Health,Doctor appointment,-1300306
2025-07-06,Entertainment,Streaming,-890949
2025-07-07,Shopping,Electronics,-3932666
2025-07-07,Rent,Apartment rent,-5194966
2025-07-08,Groceries,Supermarket,-1347212
2025-07-08,Loan Payment,Loan repayment,-1778471
2025-07-08,Groceries,Vegetable market,-1244219
2025-07-08,Loan Payment,Loan repayment,-765213
2025-07-08,Rent,Apartment rent,-8882265
2025-07-08,Transport,Public transport,-376795
2025-07-08,Loan Payment,Loan repayment,-8402723
2025-07-08,Salary,Monthly salary,11059227
2025-07-08,Transport,Taxi,-206315
2025-07-09,Freelance,Client payment,2078938
2025-07-10,Utilities,Electricity bill,-364143
2025-07-11,Loan Payment,Loan repayment,-1171173
2025-07-11,Eating Out,Street food,-449411
2025-07-11,Interest,Bank interest,1651115
2025-07-11,Loan Payment,Loan repayment,-3621593
2025-07-11,Shopping,Home items,-1599964
2025-07-11,Freelance,Project payment,11956926
2025-07-11,Misc,Miscellaneous,-479890
2025-07-11,Loan Payment,Loan repayment,-4565950
2025-07-11,Transport,Public transport,-67692
2025-07-12,Misc,Miscellaneous,-460677
2025-07-12,Health,Doctor appointment,-271493
2025-07-12,Groceries,Vegetable market,-119284
2025-07-12,Entertainment,Streaming,-478414
2025-07-12,Health,Pharmacy,-1749042
2025-07-12,Rent,Apartment rent,-3139472
2025-07-12,Entertainment,Streaming,-710830
2025-07-12,Eating Out,Street food,-35579
2025-07-13,Groceries,Vegetable market,-945551
2025-07-13,Shopping,Home items,-4147714
2025-07-13,Transport,Public transport,-199060
2025-07-13,Health,Pharmacy,-783089
2025-07-14,Transport,Public transport,-381328
2025-07-14,Loan Payment,Loan repayment,-5454457
2025-07-14,Entertainment,Streaming,-658805
2025-07-14,Shopping,Home items,-4290249
2025-07-14,Eating Out,Cafe,-315213
2025-07-14,Shopping,Home items,-3452605
2025-07-15,Transport,Taxi,-246076
2025-07-15,Rent,Apartment rent,-6058895
2025-07-15,Freelance,Project payment,8325676
2025-07-16,Transport,Taxi,-266611
2025-07-16,Health,Doctor appointment,-1480323
2025-07-16,Rent,Apartment rent,-14454762
2025-07-17,Loan Payment,Loan repayment,-4102043
2025-07-17,Groceries,Vegetable market,-56902
2025-07-17,Utilities,Internet,-1242380
2025-07-18,Misc,Miscellaneous,-117344
2025-07-18,Salary,Monthly salary,37112477
2025-07-18,Rent,Apartment rent,-7954547
2025-07-18,Shopping,Home items,-1101575
2025-07-18,Utilities,Internet,-1057686
2025-07-18,Groceries,Vegetable market,-1027439
2025-07-18,Entertainment,Movie,-526061
2025-07-19,Entertainment,Concert,-721538
2025-07-19,Utilities,Water bill,-1485841
2025-07-19,Entertainment,Movie,-366926
2025-07-19,Shopping,Clothes,-3692573
2025-07-19,Eating Out,Cafe,-651026
2025-07-19,Loan Payment,Loan repayment,-6762180
2025-07-19,Misc,Miscellaneous,-77216
2025-07-20,Interest,Bank interest,386960
2025-07-20,Transport,Gas,-151193
2025-07-20,Groceries,Vegetable market,-252190
2025-07-20,Rent,Apartment rent,-6168443
2025-07-20,Freelance,Client payment,6583310
2025-07-20,Shopping,Electronics,-4460496
2025-07-20,Eating Out,Cafe,-157706
2025-07-20,Misc,Miscellaneous,-373950
2025-07-20,Loan Payment,Loan repayment,-9327749
2025-07-20,Rent,Apartment rent,-9476839
2025-07-21,Misc,Miscellaneous,-241638
2025-07-21,Groceries,Supermarket,-170857
2025-07-21,Eating Out,Cafe,-638054
2025-07-22,Misc,Miscellaneous,-436668
2025-07-22,Shopping,Clothes,-2773005
2025-07-22,Eating Out,Street food,-389200
2025-07-22,Health,Pharmacy,-232365
2025-07-22,Rent,Apartment rent,-12029267
2025-07-22,Groceries,Supermarket,-662000
2025-07-22,Eating Out,Street food,-551376
2025-07-22,Freelance,Project payment,9394898
2025-07-22,Utilities,Internet,-705070
2025-07-23,Eating Out,Restaurant,-504252
2025-07-23,Rent,Apartment rent,-9176330
2025-07-23,Rent,Apartment rent,-11762194
2025-07-23,Rent,Apartment rent,-10721177
2025-07-23,Groceries,Vegetable market,-833428
2025-07-24,Transport,Gas,-352630
2025-07-25,Salary,Monthly salary,36760015
2025-07-25,Entertainment,Streaming,-741979
2025-07-25,Salary,Monthly salary,27890804
2025-07-25,Salary,Monthly salary,32353660
2025-07-25,Loan Payment,Loan repayment,-5529214
2025-07-26,Misc,Miscellaneous,-280947
2025-07-26,Entertainment,Concert,-415957
2025-07-26,Health,Pharmacy,-251936
2025-07-26,Loan Payment,Loan repayment,-8007371
2025-07-26,Transport,Public transport,-443491
2025-07-26,Rent,Apartment rent,-7579734
2025-07-26,Gift,Birthday gift,2737431
2025-07-27,Utilities,Water bill,-951030
2025-07-27,Utilities,Internet,-540458
2025-07-27,Health,Pharmacy,-100743
2025-07-27,Entertainment,Movie,-289188
2025-07-27,Entertainment,Streaming,-137776
2025-07-27,Shopping,Clothes,-2726552
2025-07-27,Utilities,Electricity bill,-488920
2025-07-27,Utilities,Electricity bill,-1772958
2025-07-27,Utilities,Water bill,-1409754
2025-07-27,Entertainment,Streaming,-266488
2025-07-28,Eating Out,Cafe,-266947
2025-07-28,Transport,Taxi,-365253
2025-07-28,Misc,Miscellaneous,-248596
2025-07-28,Entertainment,Streaming,-386144
2025-07-28,Loan Payment,Loan repayment,-1422687
2025-07-29,Misc,Miscellaneous,-61086
2025-07-29,Eating Out,Street food,-339950
2025-07-29,Shopping,Home items,-3572656
2025-07-29,Transport,Taxi,-14885
2025-07-29,Interest,Bank interest,1131380
2025-07-29,Misc,Miscellaneous,-43570
2025-07-29,Eating Out,Cafe,-377264
2025-07-29,Shopping,Electronics,-950409
2025-07-29,Gift,Birthday gift,1938518
2025-07-29,Health,Doctor appointment,-1163668
2025-07-30,Freelance,Client payment,10480282
2025-07-30,Loan Payment,Loan repayment,-2865725
2025-07-30,Entertainment,Streaming,-812843
2025-07-30,Utilities,Electricity bill,-1628010
2025-07-30,Transport,Gas,-91609
2025-07-30,Utilities,Electricity bill,-106047
2025-07-30,Transport,Public transport,-339812
2025-07-30,Rent,Apartment rent,-11318540
2025-07-31,Rent,Apartment rent,-12219835
2025-07-31,Transport,Public transport,-449285
2025-07-31,Misc,Miscellaneous,-65616
2025-07-31,Loan Payment,Loan repayment,-9440283
2025-08-01,Health,Doctor appointment,-478088
2025-08-01,Loan Payment,Loan repayment,-9387849
2025-08-01,Groceries,Supermarket,-79401
2025-08-01,Misc,Miscellaneous,-368163
2025-08-01,Utilities,Water bill,-1886190
2025-08-01,Entertainment,Concert,-284325
2025-08-01,Eating Out,Street food,-661001
2025-08-02,Entertainment,Concert,-963485
2025-08-02,Loan Payment,Loan repayment,-4443878
2025-08-02,Rent,Apartment rent,-7878889
2025-08-02,Gift,Gift from family,2137529
2025-08-02,Health,Doctor appointment,-1903771
2025-08-02,Eating Out,Restaurant,-359838
2025-08-02,Loan Payment,Loan repayment,-7195887
2025-08-02,Health,Doctor appointment,-873638
2025-08-02,Gift,Gift from family,577112
2025-08-03,Misc,Miscellaneous,-168751
2025-08-03,Misc,Miscellaneous,-209842
2025-08-03,Groceries,Vegetable market,-1489461
2025-08-03,Rent,Apartment rent,-3267321
2025-08-03,Gift,Birthday gift,602191
2025-08-03,Health,Pharmacy,-1986412
2025-08-03,Interest,Bank interest,1849458
2025-08-03,Entertainment,Streaming,-247535
2025-08-04,Loan Payment,Loan repayment,-5202843
2025-08-04,Groceries,Vegetable market,-387899
2025-08-04,Health,Doctor appointment,-383593
2025-08-04,Entertainment,Concert,-320129
2025-08-05,Loan Payment,Loan repayment,-1134470
2025-08-05,Misc,Miscellaneous,-428199
2025-08-05,Shopping,Electronics,-4084491
2025-08-05,Eating Out,Street food,-347560
2025-08-05,Health,Doctor appointment,-1625529
2025-08-05,Loan Payment,Loan repayment,-4281505
2025-08-05,Salary,Monthly salary,29693162
2025-08-05,Eating Out,Cafe,-611166
2025-08-05,Rent,Apartment rent,-8106797
2025-08-06,Groceries,Vegetable market,-977412
2025-08-06,Freelance,Project payment,1681004
2025-08-06,Health,Pharmacy,-469460
2025-08-06,Health,Doctor appointment,-1784958
2025-08-07,Health,Doctor appointment,-1810046
2025-08-07,Eating Out,Cafe,-479602
2025-08-07,Health,Pharmacy,-687491
2025-08-07,Shopping,Clothes,-3554560
2025-08-07,Rent,Apartment rent,-4465814
2025-08-07,Rent,Apartment rent,-2063310
2025-08-08,Rent,Apartment rent,-3551611
2025-08-08,Entertainment,Streaming,-48040
2025-08-08,Gift,Birthday gift,1364242
2025-08-09,Rent,Apartment rent,-13705104
2025-08-09,Health,Pharmacy,-518523
2025-08-09,Entertainment,Streaming,-173359
2025-08-09,Rent,Apartment rent,-7702657
2025-08-09,Rent,Apartment rent,-14260607
2025-08-09,Rent,Apartment rent,-14667980
2025-08-10,Loan Payment,Loan repayment,-3993076
2025-08-10,Transport,Public transport,-391312
2025-08-10,Utilities,Electricity bill,-1307709
2025-08-10,Groceries,Supermarket,-891135
2025-08-10,Salary,Monthly salary,23450312
2025-08-10,Entertainment,Concert,-517268
2025-08-10,Interest,Bank interest,1602885
2025-08-10,Misc,Miscellaneous,-405742
2025-08-11,Rent,Apartment rent,-8323844
2025-08-11,Freelance,Project payment,2064539
2025-08-11,Eating Out,Cafe,-42882
2025-08-11,Transport,Taxi,-283521
2025-08-11,Shopping,Clothes,-182782
2025-08-11,Misc,Miscellaneous,-230015
2025-08-11,Loan Payment,Loan repayment,-1884439
2025-08-11,Utilities,Water bill,-407970
2025-08-11,Entertainment,Streaming,-536592
2025-08-12,Rent,Apartment rent,-4774026
2025-08-12,Misc,Miscellaneous,-336325
2025-08-12,Entertainment,Concert,-781361
2025-08-12,Health,Doctor appointment,-1381055
2025-08-12,Transport,Public transport,-166462
2025-08-12,Entertainment,Movie,-749531
2025-08-13,Health,Pharmacy,-52695
2025-08-13,Entertainment,Streaming,-244932
2025-08-14,Shopping,Clothes,-3851713
2025-08-14,Misc,Miscellaneous,-396859
2025-08-14,Utilities,Internet,-1132172
2025-08-14,Groceries,Supermarket,-1335356
2025-08-14,Loan Payment,Loan repayment,-8056894
2025-08-14,Utilities,Electricity bill,-793810
2025-08-14,Misc,Miscellaneous,-13688
2025-08-15,Entertainment,Movie,-659577
2025-08-15,Utilities,Internet,-879324
2025-08-15,Eating Out,Restaurant,-183831
2025-08-15,Groceries,Supermarket,-911883
2025-08-15,Transport,Taxi,-63707
2025-08-16,Misc,Miscellaneous,-161643
2025-08-16,Eating Out,Restaurant,-664831
2025-08-16,Rent,Apartment rent,-11979146
2025-08-17,Transport,Public transport,-127189
2025-08-17,Shopping,Electronics,-1410506
2025-08-17,Health,Doctor appointment,-1586233
2025-08-17,Misc,Miscellaneous,-278517
2025-08-17,Entertainment,Movie,-543681
2025-08-17,Health,Doctor appointment,-861613
2025-08-17,Eating Out,Restaurant,-165104
2025-08-17,Shopping,Clothes,-3692230
2025-08-18,Rent,Apartment rent,-2756216
2025-08-18,Eating Out,Street food,-417521
2025-08-19,Transport,Gas,-306710
2025-08-19,Groceries,Supermarket,-1099933
2025-08-19,Loan Payment,Loan repayment,-4598484
2025-08-19,Utilities,Water bill,-838860
2025-08-19,Misc,Miscellaneous,-179075
2025-08-19,Misc,Miscellaneous,-143104
2025-08-19,Groceries,Vegetable market,-966401
2025-08-19,Eating Out,Restaurant,-726576
2025-08-20,Health,Doctor appointment,-485773
2025-08-20,Misc,Miscellaneous,-441009
2025-08-20,Eating Out,Street food,-199179
2025-08-20,Eating Out,Restaurant,-203737
2025-08-20,Groceries,Supermarket,-508215
2025-08-20,Rent,Apartment rent,-5871336
2025-08-20,Entertainment,Movie,-610225
2025-08-20,Gift,Birthday gift,2889356
2025-08-20,Entertainment,Concert,-288330
2025-08-21,Shopping,Home items,-694713
2025-08-21,Utilities,Electricity bill,-1698251
2025-08-21,Shopping,Clothes,-4385318
2025-08-21,Salary,Monthly salary,36933462
2025-08-21,Freelance,Client payment,13659775
2025-08-21,Rent,Apartment rent,-5562234
2025-08-21,Transport,Gas,-261593
2025-08-22,Rent,Apartment rent,-5444050
2025-08-22,Entertainment,Concert,-729120
2025-08-22,Interest,Bank interest,228170
2025-08-22,Shopping,Home items,-4092466
2025-08-22,Misc,Miscellaneous,-394380
2025-08-22,Rent,Apartment rent,-6625298
2025-08-22,Interest,Bank interest,1820960
2025-08-22,Entertainment,Movie,-29455
2025-08-23,Freelance,Client payment,12736247
2025-08-23,Transport,Gas,-492178
2025-08-23,Entertainment,Streaming,-745584
2025-08-23,Loan Payment,Loan repayment,-6827483
2025-08-23,Rent,Apartment rent,-3049658
2025-08-23,Misc,Miscellaneous,-55037
2025-08-23,Utilities,Internet,-665424
2025-08-24,Groceries,Supermarket,-579156
2025-08-24,Gift,Gift from family,2504229
2025-08-24,Rent,Apartment rent,-7774299
2025-08-24,Groceries,Supermarket,-687147
2025-08-24,Transport,Taxi,-416075
2025-08-25,Salary,Monthly salary,17128676
2025-08-25,Loan Payment,Loan repayment,-2164611
2025-08-25,Salary,Monthly salary,23474706
2025-08-25,Salary,Monthly salary,30465007
2025-08-25,Salary,Monthly salary,13499593
2025-08-26,Health,Doctor appointment,-282005
2025-08-26,Gift,Birthday gift,750548
2025-08-26,Loan Payment,Loan repayment,-3399589
2025-08-26,Entertainment,Concert,-476574
2025-08-26,Entertainment,Concert,-352896
2025-08-26,Freelance,Project payment,13156363
2025-08-26,Groceries,Vegetable market,-1204964
2025-08-26,Utilities,Internet,-1394778
2025-08-26,Entertainment,Concert,-663634
2025-08-27,Utilities,Electricity bill,-394785
2025-08-27,Rent,Apartment rent,-2023538
2025-08-27,Utilities,Internet,-581084
2025-08-27,Misc,Miscellaneous,-352130
2025-08-27,Loan Payment,Loan repayment,-2810106
2025-08-27,Rent,Apartment rent,-11967129
2025-08-27,Groceries,Supermarket,-1049813
2025-08-27,Entertainment,Movie,-271317
2025-08-27,Eating Out,Cafe,-601830
2025-08-27,Misc,Miscellaneous,-269950
2025-08-28,Loan Payment,Loan repayment,-9929709
2025-08-28,Transport,Taxi,-140856
2025-08-28,Gift,Gift from family,1422389
2025-08-28,Loan Payment,Loan repayment,-3486753
2025-08-28,Shopping,Home items,-2606986
2025-08-28,Rent,Apartment rent,-12920167
2025-08-28,Groceries,Vegetable market,-704313
2025-08-28,Transport,Public transport,-26838
2025-08-29,Loan Payment,Loan repayment,-6047163
2025-08-29,Groceries,Vegetable market,-458673
2025-08-30,Misc,Miscellaneous,-44514
2025-08-30,Health,Pharmacy,-1592257
2025-08-30,Health,Doctor appointment,-1398057
2025-08-31,Utilities,Internet,-1252514
2025-08-31,Transport,Gas,-63636
2025-08-31,Transport,Taxi,-121031
2025-08-31,Eating Out,Restaurant,-41362
2025-08-31,Utilities,Internet,-933399
2025-09-01,Loan Payment,Loan repayment,-4878709
2025-09-01,Entertainment,Concert,-311243
2025-09-01,Loan Payment,Loan repayment,-596514
2025-09-02,Misc,Miscellaneous,-468710
2025-09-02,Misc,Miscellaneous,-483236
2025-09-03,Loan Payment,Loan repayment,-8611502
2025-09-03,Misc,Miscellaneous,-314448
2025-09-03,Health,Pharmacy,-1736824
2025-09-03,Misc,Miscellaneous,-190351
2025-09-03,Health,Pharmacy,-296424
2025-09-03,Shopping,Clothes,-3611062
2025-09-03,Entertainment,Concert,-496553
2025-09-03,Loan Payment,Loan repayment,-2468084
2025-09-03,Transport,Gas,-286973
2025-09-04,Groceries,Vegetable market,-56114
2025-09-04,Misc,Miscellaneous,-214669
2025-09-04,Rent,Apartment rent,-12575958
2025-09-05,Entertainment,Streaming,-498660
2025-09-05,Interest,Bank interest,1509851
2025-09-05,Rent,Apartment rent,-4781793
2025-09-06,Loan Payment,Loan repayment,-8701718
2025-09-06,Groceries,Supermarket,-1001985
2025-09-06,Eating Out,Street food,-582121
2025-09-06,Freelance,Project payment,13709824
2025-09-07,Transport,Taxi,-247743
2025-09-07,Shopping,Home items,-1230004
2025-09-07,Health,Doctor appointment,-1746161
2025-09-07,Utilities,Water bill,-1838031
2025-09-07,Rent,Apartment rent,-9386177
2025-09-07,Misc,Miscellaneous,-367402
2025-09-07,Gift,Birthday gift,2364151
2025-09-08,Shopping,Home items,-1028389
2025-09-08,Groceries,Vegetable market,-769488
2025-09-08,Loan Payment,Loan repayment,-9598681
2025-09-08,Shopping,Home items,-245028
2025-09-08,Transport,Gas,-75569
2025-09-08,Misc,Miscellaneous,-346553
2025-09-08,Entertainment,Streaming,-225024
2025-09-08,Rent,Apartment rent,-7181312
2025-09-08,Entertainment,Streaming,-611490
2025-09-08,Shopping,Clothes,-1905654
2025-09-09,Groceries,Vegetable market,-535307
2025-09-09,Loan Payment,Loan repayment,-2793623
2025-09-09,Misc,Miscellaneous,-231341
2025-09-10,Interest,Bank interest,839666
2025-09-10,Groceries,Vegetable market,-760749
2025-09-10,Misc,Miscellaneous,-222541
2025-09-10,Loan Payment,Loan repayment,-3025558
2025-09-10,Groceries,Vegetable market,-1479844
2025-09-10,Entertainment,Concert,-271873
2025-09-10,Transport,Taxi,-183333
2025-09-10,Misc,Miscellaneous,-335936
2025-09-11,Eating Out,Restaurant,-387993
2025-09-12,Misc,Miscellaneous,-371797
2025-09-12,Transport,Public transport,-498640
2025-09-12,Entertainment,Streaming,-397077
2025-09-12,Misc,Miscellaneous,-138677
2025-09-12,Utilities,Water bill,-930403
2025-09-13,Groceries,Supermarket,-239354
2025-09-13,Misc,Miscellaneous,-381242
2025-09-13,Entertainment,Concert,-665473
2025-09-13,Groceries,Vegetable market,-155539
2025-09-13,Eating Out,Restaurant,-174387
2025-09-13,Salary,Monthly salary,29931078
2025-09-14,Groceries,Vegetable market,-227712
2025-09-14,Loan Payment,Loan repayment,-1711565
2025-09-14,Loan Payment,Loan repayment,-1741035
2025-09-14,Rent,Apartment rent,-7917529
2025-09-14,Health,Pharmacy,-285431
2025-09-14,Interest,Bank interest,723916
2025-09-14,Salary,Monthly salary,10005886
2025-09-15,Rent,Apartment rent,-6361684
2025-09-15,Utilities,Internet,-356104
2025-09-15,Rent,Apartment rent,-5872638
2025-09-15,Loan Payment,Loan repayment,-6361888
2025-09-15,Misc,Miscellaneous,-452035
2025-09-15,Groceries,Vegetable market,-1249973
2025-09-15,Transport,Gas,-292450
2025-09-15,Utilities,Electricity bill,-1250661
2025-09-16,Misc,Miscellaneous,-233338
2025-09-16,Loan Payment,Loan repayment,-1433325
